"Refid","User","Level","Author(s)","Title ","Year","Domain","Domain_comment","","","Outcome","Outcome_comment","Biological measures","Did at least 1 group use CGM for glucose measurement?  ","Risk","Behaviors","Collection","Frequency of feedback","Communication","Theories ","Was the behavior change theory used to guide the study design? "
5110,"Kelli.Richardson,Michelle.Jospe",3,"Das, D., Menon, I., Gupta, R., Sharma, A., Ahsan, I., Ashraf, A.","Comparison of Interventional Methods to Motivate and Change the Behavioural Stage of Smokers to Quit Smoking- A Hospital Based Randomised Controlled Trial",2021,"Substance use",,,,"Substance use cessation/reduction",,"Carbon monoxide,Carcinomas",,No,"Smoking cessation/reduction",Other,Once,Real-time,"Transtheoretical Model","Yes, study design guided by theory"
5150,"Kelli.Richardson,Michelle.Jospe",3,"Davidson, T. M., McGillicuddy, J., Mueller, M., Brunner-Jackson, B., Favella, A., Anderson, A., Torres, M., Ruggiero, K. J., Treiber, F. A.","Evaluation of an mHealth Medication Regimen Self-Management Program for African American and Hispanic Uncontrolled Hypertensives",2015,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Device/One-way,"Chronic Care Model,Self-determination theory","Yes, study design guided by theory,No, theory acknowledged in discussion"
5202,"Kelli.Richardson,Michelle.Jospe",3,"Davison, W. J., Myint, P. K., Clark, A. B., Kim, L. G., Wilson, E. C., Langley, M., Potter, J. F.","Does self-monitoring and self-management of blood pressure after stroke or transient ischemic attack improve control? TEST-BP, a randomized controlled trial",2018,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"None explicitly stated",Self-measurement,"More than once","Device,Device/Real-time","None explicitly stated",
5212,"Kelli.Richardson,Michelle.Jospe",3,"Dawes, M. G., Kaczorowski, J., Swanson, G., Hickey, J., Karwalajtys, T.","The effect of a patient education booklet and BP 'tracker' on knowledge about hypertension. A randomized controlled trial",2010,CVD,,,,"Blood pressure management",,"Blood pressure,Weight/BMI",,No,"Alcohol use cessation/reduction,Diet,Physical activity,Smoking cessation/reduction,Stress management",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
5412,"Kelli.Richardson,Michelle.Jospe",3,"Dejesus, R. S., Chaudhry, R., Leutink, D. J., Hinton, M. A., Cha, S. S., Stroebel, R. J.","Effects of efforts to intensify management on blood pressure control among patients with type 2 diabetes mellitus and hypertension: a pilot study",2009,Diabetes,,,"Type 2 diabetes,CVD","Blood pressure management",,"Blood pressure",,No,"None explicitly stated",Self-measurement,"More than once",Device,"Other : chronic disease model","No, theory acknowledged in discussion"
5509,"Kelli.Richardson,Michelle.Jospe",3,"Dennison, L., Morrison, L., Lloyd, S., Phillips, D., Stuart, B., Williams, S., Bradbury, K., Roderick, P., Murray, E., Michie, S., Little, P., Yardley, L.","Does brief telephone support improve engagement with a web-based weight management intervention? Randomized controlled trial",2014,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once","Device/One-way,Device/One-way/Real-time","Supportive Accountability Model","Yes, study design guided by theory"
5533,"Kelli.Richardson,Michelle.Jospe",3,"Desai, M. A., Okal, D. O., Rose, C. E., Ndivo, R., Oyaro, B., Otieno, F. O., Williams, T., Chen, R. T., Zeh, C., Samandari, T.","Effect of point-of-care CD4 cell count results on linkage to care and antiretroviral initiation during a home-based HIV testing campaign: a non-blinded, cluster-randomised trial",2017,"Infectious disease",,,,Other,"HIV management","Infectious disease test result",,No,"Medical visit/consultation,Medication/treatment use or adherence",Other,Once,Real-time,"None explicitly stated",
5588,"Kelli.Richardson,Michelle.Jospe",3,"Di Bartolo, P., Nicolucci, A., Cherubini, V., Iafusco, D., Scardapane, M., Rossi, M. C.","Young patients with type 1 diabetes poorly controlled and poorly compliant with self-monitoring of blood glucose: can technology help? Results of the i-NewTrend randomized clinical trial",2017,Diabetes,,,"Type 1 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once","Device,Device/One-way/Real-time","None explicitly stated",
5761,"Kelli.Richardson,Michelle.Jospe",3,"Doets, E. L., de Hoogh, I. M., Holthuysen, N., Wopereis, S., Verain, M. C. D., van den Puttelaar, J., Hogenelst, K., Boorsma, A., Bouwman, E. P., Timmer, M., Pasman, W. J., van Erk, M., Reinders, M. J.","Beneficial effect of personalized lifestyle advice compared to generic advice on wellbeing among Dutch seniors - An explorative study",2019,"General health promotion",,,,"Behavior change",,"Blood pressure,Body composition/Body fat,Genetics,Glucose,Lipids,Weight/BMI,Other : Muscle strength",No,No,"Diet,Physical activity",Other,Once,One-way,"Self-Efficacy Theory,Social Cognitive Theory","No, theory acknowledged in discussion"
5766,"Kelli.Richardson,Michelle.Jospe",3,"Doheny, M. O., Sedlak, C. A., Hall, R. J., Estok, P. J.","Structural model for osteoporosis preventing behavior in men",2010,Osteoporosis,,,,"Bone health promotion ",,"Bone mass/density",,No,"Diet,Physical activity",Other,Once,One-way,"Health Belief Model,Self-Efficacy Theory,Social Learning Theory","Yes, study design guided by theory"
5851,"Kelli.Richardson,Michelle.Jospe",3,"Dorough, A. E., Winett, R. A., Anderson, E. S., Davy, B. M., Martin, E. C., Hedrick, V.","DASH to wellness: emphasizing self-regulation through e-health in adults with prehypertension",2014,CVD,,,,"Blood pressure management",,"Blood pressure,Weight/BMI",,No,"Diet,Physical activity",Self-measurement,"More than once","Device,Device/Real-time","Self-regulation theory,Social Cognitive Theory","Yes, study design guided by theory"
5885,"Kelli.Richardson,Michelle.Jospe",3,"Downs, D. S., Savage, J. S., Rivera, D. E., Pauley, A. M., Leonard, K. S., Hohman, E. E., Guo, P., McNitt, K. M., Stetter, C., Kunselman, A.","Adaptive, behavioral intervention impact on weight gain, physical activity, energy intake, and motivational determinants: results of a feasibility trial in pregnant women with overweight/obesity",2021,Pregnancy/Postpartum,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way/Real-time,"Self-regulation theory,Theory of Planned Behavior","Yes, study design guided by theory"
5920,"Kelli.Richardson,Michelle.Jospe",3,"Drion, I., Pameijer, L. R., van Dijk, P. R., Groenier, K. H., Kleefstra, N., Bilo, H. J.","The Effects of a Mobile Phone Application on Quality of Life in Patients With Type 1 Diabetes Mellitus: A Randomized Controlled Trial",2015,Diabetes,,,"Type 1 diabetes","Glycemic control",,Glucose,No,No,"Diet,Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once",Device,"None explicitly stated",
5950,"Kelli.Richardson,Michelle.Jospe",3,"Du, Y., Dennis, B., Rhodes, S. L., Sia, M., Ko, J., Jiwani, R., Wang, J.","Technology-Assisted Self-Monitoring of Lifestyle Behaviors and Health Indicators in Diabetes: Qualitative Study",2020,Diabetes,,,"Type 2 diabetes","Behavior change",,"Glucose,Weight/BMI",No,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Other : Unified Theory of Acceptance and Use of Technology","No, theory acknowledged in discussion"
6002,"Kelli.Richardson,Michelle.Jospe",3,"Duncan, M. J., Fenton, S., Brown, W. J., Collins, C. E., Glozier, N., Kolt, G. S., Holliday, E. G., Morgan, P. J., Murawski, B., Plotnikoff, R. C., Rayward, A. T., Stamatakis, E., Vandelanotte, C., Burrows, T. L.","Efficacy of a Multi-component m-Health Weight-loss Intervention in Overweight and Obese Adults: A Randomised Controlled Trial",2020,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity,Sleep,Stress management",Self-measurement,"More than once",Device/One-way,"Self-regulation theory,Social Cognitive Theory","Yes, study design guided by theory"
6090,"Kelli.Richardson,Michelle.Jospe",3,"Earp, J. A., Ory, M. G., Strogatz, D. S.","The effects of family involvement and practitioner home visits on the control of hypertension",1982,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Unclear,"None explicitly stated",
6296,"Kelli.Richardson,Michelle.Jospe",3,"Elixhauser, A., Eisen, S. A., Romeis, J. C., Homan, S. M.","The effects of monitoring and feedback on compliance",1990,"Mental illness",,,,"Mental health improvement",,"Other : prescription drug concentrations (lithium) in serum",,No,"Medication/treatment use or adherence",Other,Once,Real-time,"None explicitly stated",
6345,"Kelli.Richardson,Michelle.Jospe",3,"Elton, P. J., Ryman, A., Hammer, M., Page, F.","Randomised controlled trial in northern England of the effect of a person knowing their own serum cholesterol concentration",1994,"General health promotion",,,,"Lipid management",,Lipids,,No,Diet,Other,Once,One-way,"None explicitly stated",
6356,"Kelli.Richardson,Michelle.Jospe",3,"Emerson, J. F., Welch, M., Rossman, W. E., Carek, S., Ludden, T., Templin, M., Moore, C. G., Tapp, H., Dulin, M., McWilliams, A.","A Multidisciplinary Intervention Utilizing Virtual Communication Tools to Reduce Health Disparities: A Pilot Randomized Controlled Trial",2015,Diabetes,,,Unspecified,"Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
6368,"Kelli.Richardson,Michelle.Jospe",3,"Emmons, K. M., Geller, A. C., Puleo, E., Savadatti, S. S., Hu, S. W., Gorham, S., Werchniak, A. E., Dana-Farber Skin Cancer Screening, Group","Skin cancer education and early detection at the beach: a randomized trial of dermatologist examination and biometric feedback",2011,Cancer,,"At risk",,"UV exposure management",,"Skin damage",,No,"Sun protection",Other,Once,Real-time,"Other : Extended Parallel Process Model (EPPM)","No, theory acknowledged in discussion"
6527,"Kelli.Richardson,Michelle.Jospe",3,"Estok, P. J., Sedlak, C. A., Doheny, M. O., Hall, R.","Structural model for osteoporosis preventing behavior in postmenopausal women",2007,Osteoporosis,,,,"Bone health promotion ",,"Bone mass/density",,No,"Diet,Physical activity",Other,Once,One-way,"Health Belief Model,Self-Efficacy Theory,Social Learning Theory","Yes, study design guided by theory"
6676,"Kelli.Richardson,Michelle.Jospe",3,"Fanning, J., Brooks, A. K., Ip, E., Nicklas, B. J., Rejeski, W. J., Nesbit, B., Ford, S.","A Mobile Health Behavior Intervention to Reduce Pain and Improve Health in Older Adults With Obesity and Chronic Pain: The MORPH Pilot Trial",2020,Other,"Chronic pain",,,"Physical ability improvement",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Self-determination theory,Social Cognitive Theory","Yes, study design guided by theory"
6694,"Kelli.Richardson,Michelle.Jospe",3,"Faridi, Z., Liberti, L., Shuval, K., Northrup, V., Ali, A., Katz, D. L.","Evaluating the impact of mobile telephone technology on type 2 diabetic patients' self-management: the NICHE pilot study",2008,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Physical activity",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
6701,"Kelli.Richardson,Michelle.Jospe",3,"Farmer, A., Wade, A., Goyder, E., Yudkin, P., French, D., Craven, A., Holman, R., Kinmonth, A. L., Neil, A.","Impact of self monitoring of blood glucose in the management of patients with non-insulin treated diabetes: open parallel group randomised trial",2007,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Glucose,HbA1c",No,No,"Diet,Medication/treatment use or adherence,Physical activity","Self-measurement,Other","More than once","Real-time,Device/Real-time","Common Sense Model","Yes, study design guided by theory"
6742,"Kelli.Richardson,Michelle.Jospe",3,"Fathima, F. N., George, N., George, M., Mathew, S. S., Rajitha, M., Agrawal, T., Kasturi, A.","Effectiveness of Color Coded Diabetic Control Monitoring Charts among Elderly Diabetics Attending Outreach Primary Care Geriatric Clinics in Rural Karnataka: An Open Label Randomized Control Trial",2019,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Medication/treatment use or adherence,Physical activity,Stress management",Other,"More than once",Real-time,"None explicitly stated",
6776,"Kelli.Richardson,Michelle.Jospe",3,"Fehring, R. J., Schneider, M., Raviele, K., Rodriguez, D., Pruszynski, J.","Randomized comparison of two Internet-supported fertility-awareness-based methods of family planning",2013,Pregnancy/Postpartum,,,,"Pregnancy/infant health",,"Other : hormones",,No,"Risky sexual behavior cessation/reduction",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
6897,"Kelli.Richardson,Michelle.Jospe",3,"Fielding, J. E., Knight, K., Mason, T., Klesges, R. C., Pelletier, K. R.","Evaluation of the IMPACT blood pressure program",1994,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Alcohol use cessation/reduction,Diet,Medication/treatment use or adherence,Physical activity",Other,"More than once",Real-time,"None explicitly stated",
6951,"Kelli.Richardson,Michelle.Jospe",3,"Fischer, H. H., Eisert, S. L., Durfee, M. J., Moore, S. L., Steele, A. W., McCullen, K., Anderson, K., Penny, L., Mackenzie, T. D.","The impact of tailored diabetes registry report cards on measures of disease control: a nested randomized trial",2011,Diabetes,,,Unspecified,"Glycemic control",,"Blood pressure,HbA1c,Lipids",,No,"None explicitly stated",Other,"More than once","One-way,One-way/Real-time","Chronic Care Model","No, theory acknowledged in discussion"
7020,"Kelli.Richardson,Michelle.Jospe",3,"Fleming, M., Brown, R., Brown, D.","The efficacy of a brief alcohol intervention combined with %CDT feedback in patients being treated for type 2 diabetes and/or hypertension",2004,Diabetes,,,"Type 2 diabetes,CVD","Substance use cessation/reduction",,"Alcohol intake biomarkers",,No,"Alcohol use cessation/reduction",Other,"More than once",One-way/Real-time,"None explicitly stated",
7088,"Kelli.Richardson,Michelle.Jospe",3,"Fontbonne, A., Billault, B., Acosta, M., Percheron, C., Varenne, P., Besse, A., Eschwege, E., Monnier, L., Slama, G., Passa, P.","Is glucose self-monitoring beneficial in non-insulin-treated diabetic patients? Results of a randomized comparative trial",1989,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Glucose,HbA1c",No,No,"Diet,Medication/treatment use or adherence","Self-measurement,Other","More than once","Device,One-way","None explicitly stated",
7167,"Kelli.Richardson,Michelle.Jospe",3,"Foulds, J., Veldheer, S., Hrabovsky, S., Yingst, J., Sciamanna, C., Chen, G., Maccani, J. Z., Berg, A.","The effect of motivational lung age feedback on short-term quit rates in smokers seeking intensive group treatment: A randomized controlled pilot study",2015,"Substance use",,,,"Substance use cessation/reduction",,"Carbon monoxide,Pulmonary function",,Yes,"Smoking cessation/reduction",Other,Once,Real-time,"None explicitly stated",
7168,"Kelli.Richardson,Michelle.Jospe",3,"Fountoulakis, S., Papanastasiou, L., Gryparis, A., Markou, A., Piaditis, G.","Impact and duration effect of telemonitoring on EtabA1c, BMI and cost in insulin-treated Diabetes Mellitus patients with inadequate glycemic control: A randomized controlled study",2015,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
7198,"Kelli.Richardson,Michelle.Jospe",3,"Franciosi, M., Lucisano, G., Pellegrini, F., Cantarello, A., Consoli, A., Cucco, L., Ghidelli, R., Sartore, G., Sciangula, L., Nicolucci, A., Group, Roses Study","ROSES: role of self-monitoring of blood glucose and intensive education in patients with Type 2 diabetes not receiving insulin. A pilot randomized clinical trial",2011,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"Diet,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
7309,"Kelli.Richardson,Michelle.Jospe",3,"Frias, J., Virdi, N., Raja, P., Kim, Y., Savage, G., Osterberg, L.","Effectiveness of Digital Medicines to Improve Clinical Outcomes in Patients with Uncontrolled Hypertension and Type 2 Diabetes: Prospective, Open-Label, Cluster-Randomized Pilot Clinical Trial",2017,Diabetes,,,"Type 2 diabetes,CVD","Blood pressure management",,"Blood pressure,Glucose,HbA1c,Heart rate,Lipids,Other : medication ingestion (with a digital pill)",No,No,"Medication/treatment use or adherence,Physical activity,Sleep","Self-measurement,Other","More than once","Real-time,One-way/Real-time","None explicitly stated",
7313,"Kelli.Richardson,Michelle.Jospe",3,"Frie, K., Hartmann-Boyce, J., Jebb, S. A., Aveyard, P.","Effectiveness of a self-regulation intervention for weight loss: A randomized controlled trial",2020,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once","Device,Device/One-way","Control Theory,Self-regulation theory,Other : Grounded theory","Yes, study design guided by theory"
7325,"Kelli.Richardson,Michelle.Jospe",3,"Friedman, R. H., Kazis, L. E., Jette, A., Smith, M. B., Stollerman, J., Torgerson, J., Carey, K.","A telecommunications system for monitoring and counseling patients with hypertension. Impact on medication adherence and blood pressure control",1996,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
7331,"Kelli.Richardson,Michelle.Jospe",3,"Fries, J. F., Bloch, D. A., Harrington, H., Richardson, N., Beck, R.","Two-year results of a randomized controlled trial of a health promotion program in a retiree population: the Bank of America Study",1993,"General health promotion",,,,Other,"Reduced health risk","Blood pressure,Lipids,Weight/BMI",,Yes,"Alcohol use cessation/reduction,Diet,Physical activity,Seat belt use,Smoking cessation/reduction,Stress management",Other,"More than once",One-way,"None explicitly stated",
7381,"Kelli.Richardson,Michelle.Jospe",3,"Fu, S. N., Dao, M. C., Luk, W., Lam, M. C. H., Ho, I. S. F., Cheung, S. K., Wong, C. K. H., Cheung, B. M. Y.","A cluster-randomized study on the Risk Assessment and Management Program for home blood pressure monitoring in an older population with inadequate health literacy",2020,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
7387,"Kelli.Richardson,Michelle.Jospe",3,"Fucito, L. M., DeMartini, K. S., Hanrahan, T. H., Yaggi, H. K., Heffern, C., Redeker, N. S.","Using Sleep Interventions to Engage and Treat Heavy-Drinking College Students: A Randomized Pilot Study",2017,"Substance use",,,,"Substance use cessation/reduction",,"Alcohol intake biomarkers",,No,"Alcohol use cessation/reduction,Diet,Physical activity,Sleep,Smoking cessation/reduction,Stress management",Algorithm,Once,One-way,"Other : Spiral Technology Action Research (STAR) model","No, theory acknowledged in discussion"
7414,"Kelli.Richardson,Michelle.Jospe",3,"Fung, C. S., Wong, W. C., Wong, C. K., Lee, A., Lam, C. L.","Home blood pressure monitoring--a trial on the effect of a structured education program",2013,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"None explicitly stated",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
7427,"Kelli.Richardson,Michelle.Jospe",3,"Furler, J., O'Neal, D., Speight, J., Blackberry, I., Manski-Nankervis, J. A., Thuraisingam, S., de La Rue, K., Ginnivan, L., Doyle, R., Holmes-Truscott, E., Khunti, K., Dalziel, K., Chiang, J., Audehm, R., Kennedy, M., Clark, M., Jenkins, A., Lake, A. J., Januszewski, A. S., Catchpool, M., Liew, D., Clarke, P., Best, J.","Use of professional-mode flash glucose monitoring, at 3-month intervals, in adults with type 2 diabetes in general practice (GP-OSMOTIC): a pragmatic, open-label, 12-month, randomised controlled trial",2020,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,Yes,No,"None explicitly stated",Self-measurement,"More than once",Real-time,"None explicitly stated",
7443,"Kelli.Richardson,Michelle.Jospe",3,"Gabriele, J. M., Carpenter, B. D., Tate, D. F., Fisher, E. B.","Directive and nondirective e-coach support for weight loss in overweight adults",2011,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity,Stress management",Self-measurement,"More than once",Device/One-way,"Transtheoretical Model","No, theory acknowledged in discussion"
7474,"Kelli.Richardson,Michelle.Jospe",3,"Gaillard, T., Amponsah, G., Osei, K.","Patient-Centered Community Diabetes Education Program Improves Glycemic Control in African-American Patients with Poorly Controlled Type 2 Diabetes: Importance of Point of Care Metabolic Measurements",2015,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Blood pressure,HbA1c,Lipids,Weight/BMI",,No,"Diet,Physical activity",Other,"More than once",Real-time,"None explicitly stated",
7478,"Kelli.Richardson,Michelle.Jospe",3,"Gajecki, M., Berman, A. H., Sinadinovic, K., Rosendahl, I., Andersson, C.","Mobile phone brief intervention applications for risky alcohol use among university students: a randomized controlled study",2014,"Substance use",,,,"Substance use cessation/reduction",,"Alcohol intake biomarkers",,No,"Alcohol use cessation/reduction",Algorithm,"More than once",One-way,"Theory of Planned Behavior","Yes, study design guided by theory"
7527,"Kelli.Richardson,Michelle.Jospe",3,"Gamage, D. G., Riddell, M. A., Joshi, R., Thankappan, K. R., Chow, C. K., Oldenburg, B., Evans, R. G., Mahal, A. S., Kalyanram, K., Kartik, K., Suresh, O., Thomas, N., Mini, G. K., Maulik, P. K., Srikanth, V. K., Arabshahi, S., Varma, R. P., Guggilla, R. K., D'Esposito, F., Sathish, T., Alim, M., Thrift, A. G.","Effectiveness of a scalable group-based education and monitoring program, delivered by health workers, to improve control of hypertension in rural India: A cluster randomised controlled trial",2020,CVD,,,,"Blood pressure management",,"Blood pressure,Weight/BMI",,No,"Diet,Medication/treatment use or adherence,Physical activity",Other,"More than once",Real-time,"None explicitly stated",
7555,"Kelli.Richardson,Michelle.Jospe",3,"Garcia, A. A., Brown, S. A., Horner, S. D., Zuniga, J., Arheart, K. L.","Home-based diabetes symptom self-management education for Mexican Americans with type 2 diabetes",2015,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"Diet,Physical activity,Stress management",Self-measurement,"More than once",Device/Real-time,"Self-regulation theory,Transtheoretical Model","Yes, study design guided by theory"
7560,"Kelli.Richardson,Michelle.Jospe",3,"Garcia de la Torre, N., Duran, A., Del Valle, L., Fuentes, M., Barca, I., Martin, P., Montanez, C., Perez-Ferre, N., Abad, R., Sanz, F., Galindo, M., Rubio, M. A., Calle-Pascual, A. L.","Early management of type 2 diabetes based on a SMBG strategy: the way to diabetes regression--the St Carlos study : a 3-year, prospective, randomized, clinic-based, interventional study with parallel groups",2013,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Glucose,Heart rate",No,No,"Diet,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
7575,"Kelli.Richardson,Michelle.Jospe",3,"Garcia-Hernandez, P., Carranza-Lira, S., Motta-Martinez, E.","[Monthly ibandronate attachment to Mexican and Chilean women with osteoporosis, with or without a biofeedback strategy]",2010,Osteoporosis,,,,"Bone health promotion ",,"Bone mass/density",,No,"Medication/treatment use or adherence",Other,Once,Real-time,"None explicitly stated",
7717,"Kelli.Richardson,Michelle.Jospe",3,"Gemson, D. H., Sloan, R. P.","Efficacy of computerized health risk appraisal as part of a periodic health examination at the worksite",1995,"General health promotion",,,,"Health risk improvement",,"Blood pressure,Glucose,Lipids,Weight/BMI",No,Yes,"None explicitly stated",Other,Once,One-way/Real-time,"None explicitly stated",
7850,"Kelli.Richardson,Michelle.Jospe",3,"Gidlow, C. J., Ellis, N. J., Riley, V., Chadborn, T., Bunten, A., Iqbal, Z., Ahmed, A., Fisher, A., Sugden, D., Clark-Carter, D.","Randomised controlled trial comparing uptake of NHS Health Check in response to standard letters, risk-personalised letters and telephone invitations",2019,CVD,,,,"CVD management",,"Blood pressure,Lipids",,Yes,"Medical screening uptake",Other,Once,One-way,"None explicitly stated",
7920,"Kelli.Richardson,Michelle.Jospe",3,"Gimbel, R. W., Rennert, L. M., Crawford, P., Little, J. R., Truong, K., Williams, J. E., Griffin, S. F., Shi, L., Chen, L., Zhang, L., Moss, J. B., Marshall, R. C., Edwards, K. W., Crawford, K. J., Hing, M., Schmeltz, A., Lumsden, B., Ashby, M., Haas, E., Palazzo, K.","Enhancing Patient Activation and Self-Management Activities in Patients With Type 2 Diabetes Using the US Department of Defense Mobile Health Care Environment: Feasibility Study",2020,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Blood pressure,Glucose,Weight/BMI",No,No,"Diet,Medication/treatment use or adherence,Physical activity,Smoking cessation/reduction",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
7969,"Kelli.Richardson,Michelle.Jospe",3,"Glanz, K., Volpicelli, K., Kanetsky, P. A., Ming, M. E., Schuchter, L. M., Jepson, C., Domchek, S. M., Armstrong, K.","Melanoma genetic testing, counseling, and adherence to skin cancer prevention and detection behaviors",2013,Cancer,,"At risk",,"UV exposure management",,Genetics,,No,"Self-skin examination,Sun protection",Other,Once,Real-time,"None explicitly stated",
7975,"Kelli.Richardson,Michelle.Jospe",3,"Glasgow, R. E., Kurz, D., King, D., Dickman, J. M., Faber, A. J., Halterman, E., Woolley, T., Toobert, D. J., Strycker, L. A., Estabrooks, P. A., Osuna, D., Ritzwoller, D.","Twelve-month outcomes of an Internet-based diabetes self-management support program",2012,Diabetes,,,"Type 2 diabetes","Behavior change",,"Blood pressure,HbA1c,Lipids",,No,"Diet,Medication/treatment use or adherence,Physical activity",Other,Once,"One-way,One-way/Real-time","Social Cognitive Theory,Social Ecological Model,Other : RE-AIM framework, ‘‘5 As’’ self-management model","Yes, study design guided by theory"
8001,"Kelli.Richardson,Michelle.Jospe",3,"Gleason-Comstock, J. A., Streater, A., Jen, K. L., Artinian, N. T., Timmins, J., Baker, S., Joshua, B., Paranjpe, A.","Consumer health information technology in an adult public health primary care clinic: a heart health education feasibility study",2013,"General health promotion",,,,"Behavior change",,"Blood pressure,Weight/BMI",,No,"Alcohol use cessation/reduction,Diet,Smoking cessation/reduction,Stress management",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
8042,"Kelli.Richardson,Michelle.Jospe",3,"Godin, G., Desharnais, R., Jobin, J., Cook, J.","The impact of physical fitness and health-age appraisal upon exercise intentions and behavior",1987,"General health promotion",,,,"Behavior change",,"Blood pressure,Lipids,Weight/BMI",,Yes,"Physical activity",Other,Once,One-way,"None explicitly stated",
8046,"Kelli.Richardson,Michelle.Jospe",3,"Godino, J. G., van Sluijs, E. M., Marteau, T. M., Sutton, S., Sharp, S. J., Griffin, S. J.","Lifestyle Advice Combined with Personalized Estimates of Genetic or Phenotypic Risk of Type 2 Diabetes, and Objectively Measured Physical Activity: A Randomized Controlled Trial",2016,Diabetes,,,"Type 2 diabetes","Behavior change",,"Genetics,Weight/BMI",,Yes,"Diet,Physical activity",Other,Once,One-way,"Protection Motivation Theory,Self-regulation theory","No, theory acknowledged in discussion"
8051,"Kelli.Richardson,Michelle.Jospe",3,"Godwin, M., Lam, M., Birtwhistle, R., Delva, D., Seguin, R., Casson, I., MacDonald, S.","A primary care pragmatic cluster randomized trial of the use of home blood pressure monitoring on blood pressure levels in hypertensive patients with above target blood pressure",2010,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"None explicitly stated",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
8069,"Kelli.Richardson,Michelle.Jospe",3,"Gokee LaRose, J., Tate, D. F., Gorin, A. A., Wing, R. R.","Preventing weight gain in young adults: a randomized controlled pilot study",2010,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Self-regulation theory","Yes, study design guided by theory"
8070,"Kelli.Richardson,Michelle.Jospe",3,"Gokee-Larose, J., Gorin, A. A., Wing, R. R.","Behavioral self-regulation for weight loss in young adults: a randomized controlled trial",2009,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity","Self-measurement,Other","More than once","Device/One-way,Device/Real-time","Self-regulation theory","Yes, study design guided by theory"
8125,"Kelli.Richardson,Michelle.Jospe",3,"Goldstein, A., Horns, W. H., Hansteen, R. W.","Is on-site urine testing of therapeutic value in a methadone treatment program?",1977,"Substance use",,,,"Substance use cessation/reduction",,"Other : opiates in urine",,No,"Drug use cessation/reduction",Other,"More than once",Real-time,"None explicitly stated",
